"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p"
"42",-4.5770874,1304.4541,0.016203957,1401.574,1023.41125,0.025743313,1401.7385,1017.62463,0.017266924,1402.5876,1016.5946,0.024586618
"43",-4.5770874,1304.4541,0.016203957,1401.5746,1023.4122,0.025726892,1401.7385,1017.61664,0.017239742,1402.5884,1016.5847,0.024573198
"44",-4.5755787,1304.4537,0.01623115,1401.4221,1023.0283,0.023243371,1401.7994,1017.07635,0.015924279,1402.5677,1016.2279,0.024116734
"45",-4.5752954,1304.4547,0.016229209,1401.3242,1023.13983,0.021638496,1401.9712,1016.93134,0.01549875,1402.909,1015.45856,0.022896403
"46",1456.6464,973.242,0.024468912,1438.3002,971.77295,0.0208035,1435.5066,970.38257,0.015651662,1402.82,1015.55554,0.022883313
"47",1434.7175,971.7817,0.023019811,1433.7991,971.3094,0.030920489,1437.9059,972.0694,0.021144897,1436.0697,974.6472,0.029997902
"48",-4.557461,1304.4214,0.01631514,1401.0739,1005.15594,0.02097428,1440.2917,964.01355,0.016423956,1381.6957,1018.63617,0.019207852
"49",1434.0026,956.90295,0.018170994,1434.6484,955.14594,0.023958594,1441.2402,964.8468,0.017276295,1438.9995,959.006,0.021144576
"50",1448.7565,952.71387,0.018026074,1435.491,953.0276,0.029278995,1460.3555,946.8058,0.020864794,1444.6166,944.5347,0.025694754
"51",1450.2798,939.46857,0.02211537,1452.0596,937.0723,0.04926535,1454.964,941.735,0.031519074,1453.8093,947.326,0.033324372
"52",1392.5984,925.30615,0.017285056,1453.1293,938.53937,0.03796124,1452.8169,940.61487,0.023092119,1454.5771,945.3977,0.022652488
"53",1390.6925,919.19946,0.017537594,1454.6573,906.376,0.025019426,1422.6276,907.074,0.019294688,1449.7809,912.2248,0.01736222
"54",1432.6001,906.5676,0.027198488,1448.3206,907.07623,0.039158717,1461.9246,916.66766,0.03477479,1449.178,927.98376,0.036740284
"55",1433.5165,906.9288,0.032392286,1438.1146,908.887,0.038548082,1442.1976,901.71277,0.041268073,1428.7686,920.40515,0.037181046
"56",1438.9855,914.23517,0.050456386,1435.954,907.53955,0.058809698,1441.4993,917.1426,0.048959013,1428.2751,920.98694,0.05708723
"57",-4.5460663,1304.4406,0.016349068,1419.3116,910.3059,0.021455316,1421.0659,905.50116,0.022813717,1421.6943,908.7761,0.021303033
"58",1421.1786,966.2132,0.02638863,1418.8047,973.04834,0.035233036,1419.6691,972.6803,0.02252271,1418.1884,973.9844,0.02687006
"59",1421.328,965.74994,0.025349835,1388.1086,939.0281,0.024376519,1405.5037,940.2603,0.019343715,1395.5626,940.7127,0.022238346
"60",1371.124,933.99884,0.023760898,1387.974,937.42206,0.039470717,1376.4738,931.6068,0.024765044,1419.4065,925.5136,0.03177779
"61",1371.7849,934.38513,0.01740491,1417.1185,925.80786,0.024795255,1421.3145,908.2267,0.020423083,1420.1954,924.92035,0.020757152
"62",1419.9552,924.74365,0.038657732,1417.4642,925.8245,0.053744633,1421.6512,925.3605,0.034211207,1419.8796,924.7901,0.040916886
"63",1419.6412,923.8778,0.03849767,1418.4603,925.9979,0.049782146,1421.1151,925.2157,0.037309874,1419.6233,926.0089,0.042355586
"64",1419.4933,923.7167,0.04187978,1418.7065,926.2824,0.046943862,1421.2572,924.9078,0.038276624,1419.4946,925.8659,0.041402362
"65",1419.5194,923.73535,0.04277072,1418.7253,926.3212,0.0475866,1421.204,924.8937,0.03903721,1419.459,925.8069,0.042120595
"66",1419.5334,923.70306,0.04673593,1418.7644,926.3442,0.05495056,1421.2588,925.40015,0.045456145,1419.7888,925.98926,0.04921399
"67",1419.9465,923.94794,0.044416655,1419.0173,925.92993,0.0542695,1421.544,925.4721,0.043229982,1419.5443,925.69635,0.05132029
"68",1420.3717,924.2375,0.03516115,1418.4374,926.1201,0.039662253,1421.4696,925.1901,0.031983495,1419.6233,925.5494,0.038120747
"69",1420.6699,924.3102,0.031755324,1418.2928,925.8526,0.035997804,1421.3757,925.0584,0.027669711,1419.2435,924.9718,0.034444116
"70",1420.7942,924.54205,0.0244848,1417.9241,925.8752,0.029126495,1421.2041,925.18665,0.02116961,1419.2278,924.65076,0.02902415
"71",1419.5878,924.0545,0.034113556,1418.2439,926.0692,0.03797703,1420.7709,925.34106,0.029431246,1418.7439,925.30225,0.03954109
"72",1420.4281,924.3418,0.025185965,1386.1545,939.9467,0.028696246,1419.0873,925.06537,0.018865107,1419.5502,925.283,0.028359188
"73",1419.9069,924.66504,0.028315235,1386.3767,940.32916,0.03242191,1419.1404,925.5531,0.024652313,1419.2045,925.97,0.031731214
"74",1419.2426,925.32184,0.029277993,1416.5951,926.8614,0.03481972,1425.783,918.713,0.028617779,1418.5562,925.9437,0.033331085
"75",1419.4746,925.0008,0.030193519,1435.2876,909.01526,0.03482889,1426.1747,918.5541,0.02897565,1418.583,926.33057,0.031714708
"76",1419.3708,924.66565,0.031368643,1416.9006,926.36224,0.036688413,1420.0042,925.174,0.029544463,1418.8052,926.4764,0.035060033
"77",1441.9425,919.20166,0.03242745,1416.6486,926.36926,0.041080702,1419.9739,925.3039,0.03029629,1418.3167,926.75867,0.036224812
"78",1442.301,919.19965,0.029001731,1417.0455,926.72485,0.031836823,1419.6068,924.9855,0.026845863,1418.364,926.8563,0.030674757
"79",1442.1989,919.29156,0.030324902,1417.1873,926.8888,0.030594748,1419.3453,925.09564,0.026434219,1418.6647,927.01013,0.028936192
"80",1442.2079,918.86707,0.028598785,1417.28,926.86456,0.03319344,1419.5587,924.9472,0.028206548,1418.8916,927.0003,0.030528262
"81",1441.8573,918.68567,0.032101937,1435.7668,908.3932,0.03488615,1419.7267,925.1096,0.026990773,1433.4899,913.2335,0.02933942
"82",1441.8536,918.3444,0.03383683,1435.8666,908.2823,0.038127434,1419.6871,925.0122,0.02729934,1433.2965,913.2927,0.030938508
"83",1441.9027,918.3109,0.03272138,1435.6716,908.21954,0.03650845,1419.6746,924.9541,0.028248051,1433.198,913.295,0.030919679
"84",1442.0092,918.4559,0.030616026,1435.7657,908.39624,0.033640034,1419.6436,925.0004,0.02727881,1418.9714,927.05316,0.02944118
"85",1441.8341,918.73236,0.028906101,1417.5244,926.709,0.03161086,1419.5516,924.9264,0.027716484,1419.0299,926.9964,0.029815733
"86",1441.8572,918.30835,0.029140685,1435.935,908.61456,0.032334737,1419.8152,925.02246,0.026516952,1418.9872,927.01056,0.02898501
"87",1419.4285,924.97876,0.028203268,1417.5116,926.6072,0.033663675,1419.8264,925.14124,0.028403118,1418.9471,927.24133,0.0313919
