"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p"
"0",120.70797,1061.9095,0.06901421,122.94793,1052.0479,0.088777855,129.405,1061.8965,0.083188,122.850006,1055.946,0.073103145
"1",120.71456,1061.9863,0.0713595,122.94793,1052.0686,0.09041398,129.405,1061.9061,0.08567599,122.850006,1055.9574,0.07387479
"2",120.71456,1061.9888,0.07143362,122.94793,1052.0762,0.09042911,129.405,1061.9081,0.08560917,122.850006,1055.9594,0.07385875
"3",120.7105,1061.9888,0.07148627,122.94308,1052.078,0.09043435,129.405,1061.9081,0.08554836,122.84843,1055.9594,0.073881
"4",120.7105,1061.9863,0.0714327,122.94202,1052.078,0.09030983,129.40724,1061.9102,0.08542309,122.84818,1055.9581,0.073807426
"5",120.70549,1061.9836,0.07154624,122.94069,1052.078,0.090317965,129.41069,1061.9117,0.08551529,122.848145,1055.9581,0.07380795
"6",120.70473,1061.9825,0.07155657,122.94069,1052.0784,0.09033621,129.41069,1061.9117,0.08553155,122.84786,1055.9581,0.07382533
"7",120.70473,1061.9824,0.07155537,122.94069,1052.0784,0.09033453,129.41069,1061.9119,0.085530035,122.84786,1055.9581,0.07382401
"8",120.70314,1061.979,0.07148163,122.94085,1052.079,0.09020059,129.40817,1061.9141,0.08539555,122.84786,1055.9581,0.073717445
"9",120.70314,1061.9779,0.07150721,122.94085,1052.079,0.090271905,129.40805,1061.9143,0.085449204,122.847855,1055.9581,0.07378476
"10",120.70314,1061.9779,0.07150721,122.94085,1052.079,0.090271905,129.40805,1061.9143,0.085449204,122.84702,1055.9585,0.07378476
"11",120.70314,1061.9766,0.071524054,122.9407,1052.0779,0.09028697,129.40805,1061.9143,0.08548902,122.84702,1055.9572,0.07379102
"12",120.70314,1061.9761,0.071502,122.94067,1052.0775,0.090264134,129.40805,1061.9143,0.08545862,122.84693,1055.9572,0.07376805
"13",120.70128,1061.9756,0.07156297,122.93906,1052.0774,0.09050714,129.41238,1061.9155,0.08555636,122.84669,1055.9572,0.0739879
"14",120.70043,1061.9742,0.071570106,122.938934,1052.0763,0.09052853,129.41246,1061.9155,0.08558978,122.846375,1055.957,0.07401158
"15",120.676125,1061.9657,0.07200081,122.93342,1052.0757,0.090669006,129.41711,1061.9293,0.08593412,122.84379,1055.9553,0.07425015
"16",120.67205,1061.9639,0.07200578,122.93342,1052.0757,0.09062746,129.41711,1061.9293,0.08593097,122.84379,1055.955,0.07421898
"17",120.67204,1061.9639,0.07201183,122.93342,1052.0757,0.09062035,129.41711,1061.9293,0.08593877,122.84379,1055.9529,0.074213676
"18",120.67204,1061.9604,0.0718909,122.93215,1052.0757,0.09062282,129.41435,1061.929,0.08578681,122.844376,1055.9531,0.07420529
"19",120.67205,1061.9604,0.071890816,122.93358,1052.0757,0.09062272,129.41435,1061.929,0.0857867,122.844376,1055.9529,0.07420517
"20",120.67205,1061.954,0.07277346,122.93358,1052.0734,0.09063109,129.41435,1061.9271,0.08583074,122.844376,1055.9529,0.07421032
"21",120.67204,1061.9521,0.10676342,122.93358,1052.0734,0.14741977,129.41435,1061.9271,0.097962454,122.844376,1055.9507,0.1019664
"22",120.67338,1061.9521,0.0719967,122.93647,1052.0734,0.11343872,129.41435,1061.9271,0.09548054,122.84444,1055.9507,0.0742931
"23",120.67338,1061.954,0.07202431,122.9404,1052.0784,0.09074088,129.40747,1061.9282,0.085903004,122.847664,1055.9507,0.0743303
"24",120.66845,1061.9642,0.07192053,122.9404,1052.0784,0.09040737,129.40569,1061.9623,0.08562954,122.84391,1055.9767,0.07410718
"25",120.67182,1061.971,0.07189317,122.93749,1052.0784,0.090311274,129.4036,1061.9633,0.085499935,122.84391,1055.9779,0.07408398
"26",120.67182,1061.971,0.07194353,122.9404,1052.0784,0.09004928,129.3912,1061.9663,0.085338846,122.847664,1055.9779,0.07391838
"27",120.66579,1061.9642,0.07181899,122.941154,1052.0829,0.08987221,129.39107,1061.9681,0.08525228,122.83827,1055.9858,0.0737492
"28",120.61839,1061.9346,0.07230011,122.947815,1052.1255,0.091221705,129.38927,1061.9681,0.08578812,122.83827,1055.9858,0.07472567
"29",120.5675,1061.9238,0.07252433,122.954926,1052.1401,0.0914915,129.38228,1061.9663,0.0857867,122.851456,1055.9741,0.0750962
"30",120.028786,1049.4711,0.0680775,123.014565,1052.2794,0.08850366,116.42325,1030.4641,0.0843982,122.892044,1055.9741,0.074155234
"31",120.01887,1049.4711,0.068725675,123.00941,1052.3052,0.089231275,116.41701,1030.4517,0.084354036,122.89644,1055.9744,0.07479789
"32",120.01887,1049.4711,0.069045074,123.00941,1052.313,0.089468196,116.40521,1030.4517,0.085154004,122.89669,1055.9744,0.07517657
"33",120.01887,1049.4895,0.068758376,123.00941,1052.3201,0.08922951,116.40521,1030.4594,0.085118346,122.9013,1055.9761,0.0748408
"34",120.01887,1049.4895,0.06872372,123.00656,1052.313,0.0892138,116.405136,1030.4594,0.08480173,122.9013,1055.9761,0.074667946
"35",120.02514,1049.4896,0.068731256,123.00656,1052.3169,0.089222625,116.405136,1030.4591,0.08480666,122.901886,1055.9744,0.07467555
"36",120.02519,1049.4896,0.06898945,123.00656,1052.3169,0.08954401,116.40521,1030.4592,0.085160464,122.90224,1055.9722,0.07513022
"37",120.02519,1049.4897,0.06885497,123.00713,1052.3168,0.0894706,116.40615,1030.4592,0.08480001,122.90524,1055.9719,0.074915044
"38",120.02514,1049.4897,0.068848714,123.00726,1052.3168,0.08946453,116.40615,1030.4591,0.084796734,122.90524,1055.9719,0.07491102
"39",120.02514,1049.4897,0.068848714,123.00726,1052.3168,0.08946453,116.40615,1030.4591,0.084796734,122.90524,1055.9719,0.07491102
"40",120.02427,1049.4897,0.06898629,123.00726,1052.3163,0.089537755,116.40607,1030.4587,0.08516168,122.9052,1055.9719,0.07511852
"41",120.02427,1049.4897,0.06886915,123.00709,1052.3163,0.08948339,116.40607,1030.4587,0.08477402,122.9052,1055.9719,0.07493259
"42",120.02427,1049.4897,0.06886915,123.00709,1052.3158,0.089483365,116.40568,1030.4574,0.084774,122.9051,1055.9719,0.074932575
"43",120.02427,1049.4897,0.068863995,123.00708,1052.3158,0.08947929,116.40607,1030.4574,0.084717415,122.9052,1055.972,0.0749265
"44",120.01949,1049.4888,0.06899462,123.00709,1052.3103,0.08954648,116.40607,1030.4567,0.085072964,122.9052,1055.972,0.07512793
"45",120.01949,1049.4888,0.0689239,123.00709,1052.3103,0.08956139,116.40646,1030.4567,0.08473906,122.9053,1055.9729,0.07500668
"46",120.01944,1049.4888,0.06892255,123.00708,1052.3103,0.089559935,116.40646,1030.4567,0.08473913,122.9053,1055.973,0.07500533
"47",120.01944,1049.4888,0.06891696,123.007034,1052.3103,0.08955142,116.40646,1030.4567,0.084740154,122.9053,1055.9731,0.07499779
"48",120.01378,1049.4884,0.06914666,123.004906,1052.3077,0.08972048,116.40616,1030.4564,0.08512669,122.9035,1055.9736,0.075306244
"49",120.01374,1049.4884,0.0690224,123.004906,1052.3077,0.08966761,116.40616,1030.4564,0.08477278,122.90348,1055.9736,0.07511791
"50",120.00452,1049.4867,0.069021426,123.004906,1052.2999,0.08966652,116.39993,1030.4542,0.08477263,122.89975,1055.9736,0.07511686
"51",120.01049,1049.4884,0.06914291,123.00493,1052.3025,0.089716434,116.39993,1030.4542,0.085126325,122.901474,1055.9736,0.07530228
"52",120.01049,1049.4884,0.069144264,123.00493,1052.3025,0.08971793,116.39993,1030.4542,0.085126415,122.901474,1055.9736,0.07530381
"53",120.01049,1049.4894,0.06928443,123.00493,1052.3025,0.08990254,116.39993,1030.4542,0.085137434,122.901474,1055.9735,0.07542525
"54",120.01442,1049.4905,0.0692156,123.0049,1052.3082,0.089834124,116.39993,1030.4551,0.08476211,122.901474,1055.9735,0.0752795
"55",120.015,1049.4907,0.06910119,123.00386,1052.3104,0.08972487,116.40448,1030.4552,0.084740624,122.901474,1055.9728,0.07516702
"56",120.01961,1049.4954,0.068579234,122.99675,1052.3293,0.08937414,116.40489,1030.4708,0.085811004,122.884514,1055.9728,0.07466287
"57",120.02242,1049.5051,0.068479754,122.98963,1052.3385,0.08950373,116.41019,1030.4708,0.08548799,122.88404,1055.9725,0.07461329
"58",120.02242,1049.5051,0.0684758,122.98963,1052.3385,0.08950415,116.41019,1030.4708,0.08550982,122.88257,1055.9723,0.07461616
"59",120.03159,1049.5062,0.06863278,122.98956,1052.3429,0.089655004,116.41019,1030.4708,0.0855678,122.88257,1055.9723,0.07477739
"60",120.03175,1049.5062,0.06872129,122.98756,1052.343,0.0897157,116.40462,1030.4677,0.086076595,122.87896,1055.9725,0.07492023
"61",120.42347,1062.8564,0.055080824,122.5359,1052.6898,0.075457655,115.42802,1028.9226,0.06798208,122.807976,1056.0503,0.061500356
"62",120.757225,1062.9967,0.051828027,122.535576,1052.7748,0.0708586,115.25177,1028.7655,0.06474037,122.807976,1056.0713,0.05751704
"63",120.757286,1063.001,0.051808704,122.53555,1052.7748,0.070826024,115.25177,1028.7637,0.06470035,122.807976,1056.0714,0.057507467
"64",120.757515,1063.0024,0.051793315,122.535576,1052.7748,0.07080817,115.2517,1028.7634,0.064686835,122.80877,1056.0714,0.05748656
"65",120.757515,1063.0024,0.051790997,122.535576,1052.7748,0.07080646,115.2517,1028.7634,0.06469667,122.80879,1056.0714,0.057484146
"66",120.757805,1063.0024,0.051788934,122.53575,1052.7742,0.07082697,115.24956,1028.7614,0.064758666,122.80925,1056.0715,0.05749961
