10, 0.31835, 0.005
20, 0.03948, 0.005
30, 0.02590, 0.005
40, 0.02562, 0.005
50, 0.02035, 0.005
60, 0.01743, 0.005
70, 0.02062, 0.005
80, 0.01378, 0.005
90, 0.01830, 0.005
100, 0.01767, 0.005
110, 0.01943, 0.005
120, 0.01560, 0.005
130, 0.01656, 0.005
140, 0.02047, 0.005
150, 0.01843, 0.005
160, 0.01425, 0.005
170, 0.01224, 0.005
180, 0.01194, 0.005
190, 0.01125, 0.005
200, 0.01202, 0.005
210, 0.01862, 0.005
220, 0.01385, 0.005
230, 0.01488, 0.005
240, 0.01187, 0.005
250, 0.01490, 0.005
260, 0.01350, 0.005
270, 0.01494, 0.005
280, 0.01619, 0.005
290, 0.01354, 0.005
300, 0.01260, 0.005
310, 0.01073, 0.005
320, 0.01266, 0.005
330, 0.01173, 0.005
340, 0.01203, 0.005
350, 0.01204, 0.005
360, 0.01283, 0.005
370, 0.00806, 0.005
380, 0.00855, 0.005
390, 0.00737, 0.005
400, 0.01076, 0.005
