"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","walk"
"15",409.85873,966.82513,0.06178186,399.2483,969.0961,0.078703314,404.35693,951.6887,0.06842154,407.98065,976.10565,0.047429346,17.685738,0,0,0,17.685738,4.4214344,0,17.685738,36.2165,72.433,63.78438,318.9219,69.36733,416.20398,99.00343,693.02405,251.21365,3768.2046,0.25633606,0.064084016,4,4,4,1
"16",409.85873,970.83026,0.04383761,399.53815,970.2738,0.06245296,404.35693,963.17395,0.04527199,408.04803,972.83527,0.04760376,30.606197,9.268068,87.7673,24.996788,152.63837,38.15959,9.268068,87.7673,21.290512,42.581024,71.28356,356.4178,59.513584,357.0815,64.90908,454.3636,208.57298,3128.5947,0.19916631,0.04979158,4,4,4,1
"17",409.85873,979.09625,0.09600119,411.8208,969.2842,0.110436626,411.5828,966.305,0.07150857,408.04803,976.16455,0.097647764,63.166676,94.165184,60.179237,25.441576,242.95268,60.73817,25.441576,94.165184,49.448883,98.897766,42.759697,213.79848,69.52599,417.15598,59.688526,417.81967,212.14691,3182.2039,0.37559417,0.09389854,3,4,4,1
"18",408.44977,979.09625,0.07490677,411.8208,970.19653,0.084596194,413.85617,968.5968,0.080259845,403.79495,976.16455,0.07964982,10.766973,6.9719815,24.668348,32.50101,74.90831,18.727077,6.9719815,32.50101,39.732624,79.46525,38.011566,190.05785,38.75426,232.52556,62.269005,435.88303,213.1527,3197.2903,0.31941262,0.079853155,4,4,4,1
"19",408.1633,979.09625,0.08180566,411.8208,970.70856,0.11043344,414.66525,982.4475,0.08544042,408.09973,975.10095,0.09285079,2.189122,3.9127612,106.02414,33.88527,146.01129,36.502823,2.189122,106.02414,27.61495,55.2299,31.70982,158.5491,37.76011,226.56067,38.432625,269.02838,78.835495,1182.5325,0.3705303,0.09263258,3,4,4,1
"20",408.1633,979.01447,0.10203881,410.75577,970.33276,0.146475,417.62997,982.4475,0.1334398,403.79495,975.10095,0.12962031,0.624997,8.630501,22.655676,32.896065,64.807236,16.201809,0.624997,32.896065,26.352316,52.70463,34.065895,170.32947,29.12515,174.7509,34.68035,242.76247,77.57,1163.5499,0.5115739,0.12789348,0,4,4,1
"21",408.08365,978.9765,0.11466546,409.55096,970.19653,0.15930839,417.62997,982.4475,0.15219022,403.50528,975.10095,0.13113493,0.6742746,9.265482,0,2.2136087,12.153365,3.0383413,0,9.265482,9.620075,19.24015,27.041645,135.20822,28.894636,173.36781,25.398464,177.78925,75.938614,1139.0792,0.557299,0.13932475,0,4,4,1
"22",408.07013,978.5826,0.12023994,408.58255,970.19653,0.16095126,417.62997,982.4475,0.14047913,399.0786,975.10095,0.13680355,3.0120192,7.4003844,0,33.827496,44.2399,11.059975,0,33.827496,7.049158,14.098316,17.106005,85.53002,24.378033,146.26819,26.346827,184.42778,71.206436,1068.0966,0.5584739,0.13961847,0,4,4,1
"23",376.7292,970.38727,0.1016711,392.92123,968.2171,0.13491674,398.55307,973.14777,0.12082211,393.93005,974.9397,0.12873772,247.55249,120.63205,162.18056,39.363323,569.72845,142.43211,39.363323,247.55249,76.74605,153.4921,41.84701,209.23506,37.99369,227.96214,41.2429,288.70032,67.99226,1019.8839,0.48614767,0.12153692,0,4,4,1
"24",376.7292,970.2062,0.103591174,379.6357,960.4414,0.12754284,383.4521,966.82367,0.08754216,379.82043,957.51965,0.107766666,1.3838553,117.63501,125.10882,171.30817,415.43585,103.85896,1.3838553,171.30817,123.14554,246.29108,55.31824,276.5912,52.18234,313.09402,47.403015,331.8211,56.461525,846.92285,0.42644283,0.10661071,1,4,4,1
"25",375.58615,947.8047,0.120813884,377.89548,956.4615,0.15243158,381.62234,952.8116,0.10331901,376.4451,946.2078,0.10874013,171.40938,33.193882,107.98599,90.20843,402.79767,100.69942,33.193882,171.40938,102.27919,204.55838,72.21776,361.0888,62.88177,377.29062,59.11335,413.79343,56.689346,850.3402,0.4853046,0.12132615,0,4,4,1
