scorer,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400.1,DLC_resnet50_OrangutanOct17shuffle1_400.2,DLC_resnet50_OrangutanOct17shuffle1_400.3,DLC_resnet50_OrangutanOct17shuffle1_400.4,DLC_resnet50_OrangutanOct17shuffle1_400.5,DLC_resnet50_OrangutanOct17shuffle1_400.6,DLC_resnet50_OrangutanOct17shuffle1_400.7,DLC_resnet50_OrangutanOct17shuffle1_400.8,DLC_resnet50_OrangutanOct17shuffle1_400.9,DLC_resnet50_OrangutanOct17shuffle1_400.10,DLC_resnet50_OrangutanOct17shuffle1_400.11
bodyparts,Head,Head,Head,Centre,Centre,Centre,rightLeg,rightLeg,rightLeg,leftLeg,leftLeg,leftLeg
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,327.0229797363281,931.9622192382812,0.13303466141223907,330.53662109375,927.95703125,0.14170856773853302,335.185302734375,920.6023559570312,0.12177565693855286,331.91986083984375,926.7171020507812,0.12696504592895508
1,327.6844787597656,931.9622192382812,0.1534942388534546,330.53662109375,927.95703125,0.15614885091781616,335.185302734375,920.6023559570312,0.12482878565788269,331.91986083984375,926.7171020507812,0.14342063665390015
2,328.42303466796875,931.9622192382812,0.16137531399726868,330.53662109375,927.95703125,0.18075674772262573,335.185302734375,920.6023559570312,0.12293428182601929,331.91986083984375,926.7171020507812,0.15233393013477325
3,328.42303466796875,915.0646362304688,0.1681094467639923,328.8024597167969,912.4100341796875,0.19861425459384918,333.3722839355469,919.106689453125,0.14057409763336182,330.5408935546875,923.5821533203125,0.14237183332443237
4,328.42596435546875,915.0646362304688,0.16805784404277802,328.8024597167969,912.4100341796875,0.19842110574245453,332.9910583496094,919.0919799804688,0.14065112173557281,329.8423156738281,923.5821533203125,0.1422761082649231
5,328.42596435546875,915.0643920898438,0.19560539722442627,328.76239013671875,912.4083251953125,0.1941918283700943,332.9848327636719,918.9421997070312,0.12800177931785583,328.8336486816406,911.814697265625,0.13577747344970703
6,328.42303466796875,915.04052734375,0.0851946696639061,328.7607727050781,912.348388671875,0.08926128596067429,321.0772399902344,904.0303955078125,0.06817558407783508,329.8423156738281,911.7966918945312,0.07692448794841766
7,312.4874267578125,901.328125,0.07210990786552429,328.4547119140625,910.1819458007812,0.08056763559579849,320.1446533203125,903.8763427734375,0.06612809002399445,329.8423156738281,910.4278564453125,0.06755185127258301
8,312.4187927246094,901.2505493164062,0.08727250248193741,310.8419189453125,896.8699340820312,0.08315443992614746,319.5869140625,903.6859130859375,0.07874619960784912,328.8336486816406,910.4278564453125,0.06711764633655548
9,312.25311279296875,900.8785400390625,0.10203713923692703,305.1000061035156,896.6651000976562,0.09521877020597458,319.5869140625,903.6859130859375,0.09672602266073227,314.03155517578125,910.4278564453125,0.0803544893860817
10,312.4187927246094,900.6323852539062,0.10467464476823807,304.8564758300781,896.4468383789062,0.10461287200450897,319.44036865234375,903.3933715820312,0.10321717709302902,313.9814758300781,913.5610961914062,0.08500847220420837
11,312.4187927246094,900.1068725585938,0.1120506078004837,302.5280456542969,884.5780029296875,0.12145394086837769,319.10101318359375,903.3933715820312,0.09422148764133453,313.72906494140625,913.5610961914062,0.09453395754098892
12,312.7010192871094,898.6602172851562,0.12036654353141785,302.5280456542969,884.5780029296875,0.16382911801338196,318.2233581542969,902.3778076171875,0.10776826739311218,313.72906494140625,913.5610961914062,0.09866824001073837
13,312.7515869140625,898.6602172851562,0.11655928194522858,301.99774169921875,884.5350341796875,0.16690592467784882,315.9044494628906,899.452392578125,0.10424698889255524,313.33026123046875,896.6862182617188,0.09111744165420532
14,312.7515869140625,886.5159912109375,0.1444823145866394,301.99774169921875,884.4408569335938,0.16554811596870422,315.77752685546875,886.132080078125,0.11867164075374603,313.2641296386719,896.054443359375,0.12065788358449936
15,312.7010192871094,886.4583129882812,0.10983317345380783,299.2122497558594,884.41015625,0.12647943198680878,315.64898681640625,886.839599609375,0.09227163344621658,312.43145751953125,896.054443359375,0.09942945092916489
16,296.80023193359375,884.7543334960938,0.12590833008289337,297.7584228515625,880.7075805664062,0.13057661056518555,301.217529296875,886.839599609375,0.0940326675772667,297.5000915527344,896.054443359375,0.09084975719451904
17,296.6343078613281,884.6138916015625,0.1805497258901596,296.98236083984375,880.239013671875,0.17718960344791412,300.3044128417969,885.636962890625,0.14783822000026703,297.499755859375,895.8228759765625,0.13641361892223358
18,296.625,884.04052734375,0.12507836520671844,296.98236083984375,880.239013671875,0.13431386649608612,298.826171875,885.636962890625,0.11471707373857498,297.0994567871094,895.8228759765625,0.10741110146045685
19,280.8706970214844,884.04052734375,0.10428686439990997,296.98236083984375,880.6209716796875,0.08272559195756912,298.826171875,886.236572265625,0.09297190606594086,297.0994567871094,895.8228759765625,0.08257785439491272
