scorer,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50,DLC_resnet50_OrangutanOct17shuffle1_50
bodyparts,Head,Head,Head,Centre,Centre,Centre,rightLeg,rightLeg,rightLeg,leftLeg,leftLeg,leftLeg
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1.0031416416168213,948.7703857421875,0.03377719223499298,0.4232802391052246,1038.0836181640625,0.03283653408288956,4.3881402015686035,1068.72314453125,0.046771954745054245,3.3749029636383057,1035.33544921875,0.046780381351709366
1,1.008610725402832,948.7471923828125,0.03402527794241905,0.43132925033569336,1038.0810546875,0.03240266069769859,4.377982139587402,1068.69970703125,0.04651574790477753,3.3822147846221924,1035.3394775390625,0.046437714248895645
2,1.0086102485656738,948.7471923828125,0.03402526676654816,0.43132805824279785,1038.0810546875,0.0324026420712471,4.377983093261719,1068.69970703125,0.04651573672890663,3.382214069366455,1035.3394775390625,0.04643767327070236
3,1.0086102485656738,948.7471923828125,0.03402526676654816,0.43132805824279785,1038.0810546875,0.0324026420712471,4.377983093261719,1068.69970703125,0.04651573672890663,3.382214069366455,1035.3394775390625,0.04643767327070236
4,1.0085351467132568,948.7459106445312,0.0340370312333107,0.43543148040771484,1038.078125,0.03240874782204628,4.388946533203125,1068.7103271484375,0.04678291454911232,3.3851232528686523,1035.3387451171875,0.0464417040348053
5,1.0085351467132568,948.7459106445312,0.0340370312333107,0.43543148040771484,1038.078125,0.03240874782204628,4.388946533203125,1068.7103271484375,0.04678291454911232,3.3851232528686523,1035.3387451171875,0.0464417040348053
6,0.8966612815856934,948.667724609375,0.032832324504852295,0.44021010398864746,1038.07470703125,0.03246716409921646,4.389246940612793,1068.7098388671875,0.04679267480969429,3.3882710933685303,1035.3397216796875,0.04650530591607094
7,0.8966608047485352,948.667724609375,0.0328323133289814,0.44021010398864746,1038.07470703125,0.03246716409921646,4.389246463775635,1068.7098388671875,0.04679267480969429,3.388270854949951,1035.3397216796875,0.04650529474020004
8,0.8966965675354004,948.6677856445312,0.032832901924848557,0.4402945041656494,1038.0745849609375,0.032467931509017944,4.389220237731934,1068.7098388671875,0.04679396376013756,3.3883249759674072,1035.33984375,0.046506449580192566
9,0.8966965675354004,948.6677856445312,0.032832901924848557,0.4402949810028076,1038.0745849609375,0.032467931509017944,4.389220237731934,1068.7098388671875,0.046793948858976364,3.3883249759674072,1035.33984375,0.046506449580192566
10,0.9035141468048096,948.6528930664062,0.032790686935186386,0.44805455207824707,1038.105712890625,0.03243553265929222,4.395974159240723,1068.7108154296875,0.04677077382802963,3.413527250289917,1035.3563232421875,0.046664271503686905
11,0.9035141468048096,948.6528930664062,0.032790686935186386,0.44805455207824707,1038.105712890625,0.03243553265929222,4.395974159240723,1068.7108154296875,0.04677077382802963,3.413527250289917,1035.3563232421875,0.046664271503686905
12,0.9051949977874756,948.6542358398438,0.03280695527791977,0.44715070724487305,1038.1060791015625,0.03242642432451248,4.396012783050537,1068.7109375,0.04676840454339981,3.412811517715454,1035.355712890625,0.0466536283493042
13,0.9051952362060547,948.6542358398438,0.03280695527791977,0.4471266269683838,1038.1060791015625,0.032426223158836365,4.396087646484375,1068.711181640625,0.0467592254281044,3.4128003120422363,1035.3555908203125,0.04665333032608032
14,0.8107526302337646,948.6211547851562,0.03414008021354675,0.4904019832611084,1038.100830078125,0.03173119202256203,4.3980326652526855,1068.70556640625,0.04641813412308693,3.4470338821411133,1035.2755126953125,0.04587225243449211
15,0.763028621673584,948.6072998046875,0.0336790457367897,0.5115392208099365,1038.0113525390625,0.03180728107690811,4.3882598876953125,1068.7197265625,0.046608828008174896,3.501307487487793,1035.3975830078125,0.04596449434757233
16,0.7630269527435303,948.6072998046875,0.03367910906672478,0.5117928981781006,1038.0101318359375,0.0318036749958992,4.384903430938721,1068.7161865234375,0.04663627967238426,3.5027315616607666,1035.3963623046875,0.04595630243420601
17,0.7702603340148926,948.6141357421875,0.03371939808130264,0.8238403797149658,1037.82470703125,0.03329235315322876,4.34750509262085,1068.797119140625,0.04572897031903267,3.318910598754883,1035.76220703125,0.04760636389255524
18,0.7702603340148926,948.6141357421875,0.03371939808130264,0.8238403797149658,1037.82470703125,0.03329235315322876,4.34750509262085,1068.797119140625,0.04572897031903267,3.318910598754883,1035.76220703125,0.04760636389255524
