"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","Probability_walk","walk"
"0",120.70797,1061.9095,0.06901421,122.94793,1052.0479,0.088777855,129.405,1061.8965,0.083188,122.850006,1055.946,0.073103145,7825.6416,7755.785,7832.995,7784.0537,31198.477,7799.619,7755.785,7832.995,7799.619,7799.619,7799.619,7799.619,7799.619,7799.619,7799.619,7799.619,7799.619,7799.619,0.31408322,0.078520805,4,4,4,0.7045,0
"1",120.71456,1061.9863,0.0713595,122.94793,1052.0686,0.09041398,129.405,1061.9061,0.08567599,122.850006,1055.9574,0.07387479,0.5642869,0.15195103,0.070612535,0.08312615,0.8699766,0.21749415,0.070612535,0.5642869,3899.9182,7799.8364,3899.9182,7799.8364,3899.9182,7799.8364,3899.9182,7799.8364,3899.9182,7799.8364,0.32132423,0.08033106,4,4,4,0.9505,1
"2",120.71456,1061.9888,0.07143362,122.94793,1052.0762,0.09042911,129.405,1061.9081,0.08560917,122.850006,1055.9594,0.07385875,0.017876592,0.055417433,0.014301273,0.014301273,0.10189657,0.025474142,0.014301273,0.055417433,0.121484146,0.24296829,2599.954,7799.8623,2599.954,7799.8623,2599.954,7799.8623,2599.954,7799.8623,0.32133067,0.08033267,4,4,4,0.977,1
"3",120.7105,1061.9888,0.07148627,122.94308,1052.078,0.09043435,129.405,1061.9081,0.08554836,122.84843,1055.9594,0.073881,0.029719833,0.037975267,0,0.01156392,0.079259016,0.019814754,0,0.037975267,0.022644449,0.045288898,1949.9705,7799.882,1949.9705,7799.882,1949.9705,7799.882,1949.9705,7799.882,0.32134998,0.080337495,4,4,4,0.9765,1
"4",120.7105,1061.9863,0.0714327,122.94202,1052.078,0.09030983,129.40724,1061.9102,0.08542309,122.84818,1055.9581,0.073807426,0.017876592,0.0077651446,0.02237505,0.009115309,0.057132095,0.014283024,0.0077651446,0.02237505,0.017048888,0.034097776,1559.9792,7799.896,1559.9792,7799.896,1559.9792,7799.896,1559.9792,7799.896,0.32097304,0.08024326,4,4,4,0.976,1
"5",120.70549,1061.9836,0.07154624,122.94069,1052.078,0.090317965,129.41069,1061.9117,0.08551529,122.848145,1055.9581,0.07380795,0.04163873,0.009720397,0.02779598,0.00027932174,0.079434425,0.019858606,0.00027932174,0.04163873,0.017070815,0.03414163,0.059384935,0.29692468,1299.986,7799.916,1299.986,7799.916,1299.986,7799.916,0.32118744,0.08029686,4,4,4,0.9875,1
"6",120.70473,1061.9825,0.07155657,122.94069,1052.0784,0.09033621,129.41069,1061.9117,0.08553155,122.84786,1055.9581,0.07382533,0.009793961,0.0026814889,0,0.0020669808,0.014542432,0.003635608,0,0.009793961,0.011747107,0.023494214,0.016613226,0.083066136,0.05009338,0.30056027,1114.2743,7799.92,1114.2743,7799.92,0.32124966,0.080312416,4,4,4,0.99,1
"7",120.70473,1061.9824,0.07155537,122.94069,1052.0784,0.09033453,129.41069,1061.9119,0.085530035,122.84786,1055.9581,0.07382401,0.00089382957,0,0.00089382957,0,0.0017876591,0.00044691478,0,0.00089382957,0.0020412614,0.004082523,0.011607781,0.058038905,0.013918841,0.08351305,0.043001026,0.30100718,974.99,7799.92,0.32124394,0.080310985,4,4,4,0.9995,1
"8",120.70314,1061.979,0.07148163,122.94085,1052.079,0.09020059,129.40817,1061.9141,0.08539555,122.84786,1055.9581,0.073717445,0.027593143,0.004620559,0.024468586,0,0.05668229,0.014170572,0,0.027593143,0.0073087434,0.014617487,0.0104789445,0.052394725,0.0120349135,0.07220948,0.013954803,0.09768362,866.65936,7799.934,0.3207952,0.0801988,4,4,4,0.9995,1
"9",120.70314,1061.9779,0.07150721,122.94085,1052.079,0.090271905,129.40805,1061.9143,0.085449204,122.847855,1055.9581,0.07378476,0.008044466,0,0.0019986636,0.000055864348,0.010098995,0.0025247487,0,0.008044466,0.00834766,0.01669532,0.00812729,0.04063645,0.009153246,0.054919474,0.010676318,0.074734226,779.9937,7799.937,0.32101306,0.080253266,4,4,4,0.9995,1
"10",120.70314,1061.9779,0.07150721,122.94085,1052.079,0.090271905,129.40805,1061.9143,0.085449204,122.84702,1055.9585,0.07378476,0,0,0,0.0066534886,0.0066534886,0.0016633722,0,0.0066534886,0.0020940604,0.004188121,0.0044882433,0.022441216,0.0070499703,0.042299822,0.008083263,0.056582846,709.0853,7799.9385,0.32101306,0.080253266,4,4,4,0.9995,1
"11",120.70314,1061.9766,0.071524054,122.9407,1052.0779,0.09028697,129.40805,1061.9143,0.08548902,122.84702,1055.9572,0.07379102,0.009832125,0.008121684,0,0.009832125,0.027785935,0.0069464836,0,0.009832125,0.004304928,0.008609856,0.0051504183,0.025752092,0.0048979498,0.0293877,0.0070351865,0.049246304,649.9955,7799.9453,0.32109106,0.080272764,4,4,4,0.9995,1
"12",120.70314,1061.9761,0.071502,122.94067,1052.0775,0.090264134,129.40805,1061.9143,0.08545862,122.84693,1055.9572,0.07376805,0.0035753183,0.0026907835,0,0.0006703722,0.006936474,0.0017341184,0,0.0035753183,0.0043403013,0.008680603,0.005407859,0.027039295,0.004581035,0.02748621,0.004445974,0.031121818,599.9959,7799.9473,0.32099283,0.08024821,4,4,4,0.9995,1
"13",120.70128,1061.9756,0.07156297,122.93906,1052.0774,0.09050714,129.41238,1061.9155,0.08555636,122.84669,1055.9572,0.0739879,0.0140919965,0.011821218,0.03296584,0.0017876591,0.060666714,0.0151666785,0.0017876591,0.03296584,0.008450398,0.016900796,0.00560708,0.028035402,0.0070343288,0.042205974,0.0060932697,0.04265289,557.1402,7799.9624,0.32161438,0.080403596,4,4,4,0.999,1
"14",120.70043,1061.9742,0.071570106,122.938934,1052.0763,0.09052853,129.41246,1061.9155,0.08558978,122.846375,1055.957,0.07401158,0.011624215,0.008093972,0.0005586435,0.0024586662,0.022735495,0.005683874,0.0005586435,0.011624215,0.010425276,0.020850552,0.0062389052,0.031194527,0.0056198793,0.033719275,0.0068414067,0.047889847,519.99786,7799.9683,0.3217,0.080425,4,4,4,0.999,1
"15",120.676125,1061.9657,0.07200081,122.93342,1052.0757,0.090669006,129.41711,1061.9293,0.08593412,122.84379,1055.9553,0.07425015,0.18866108,0.040636428,0.10659649,0.022698874,0.3585929,0.089648224,0.022698874,0.18866108,0.04766605,0.0953321,0.023835875,0.119179375,0.020140458,0.12084275,0.01762393,0.1233675,0.02923635,0.43854526,0.32285407,0.08071352,4,4,4,1,1
"16",120.67205,1061.9639,0.07200578,122.93342,1052.0757,0.09062746,129.41711,1061.9293,0.08593097,122.84379,1055.955,0.07421898,0.03270599,0,0,0.0026814889,0.03538748,0.00884687,0,0.03270599,0.049247548,0.098495096,0.024215953,0.121079765,0.021337708,0.12802625,0.018527089,0.12968962,0.015326533,0.22989799,0.3227832,0.0806958,4,4,4,1,1
"17",120.67204,1061.9639,0.07201183,122.93342,1052.0757,0.09062035,129.41711,1061.9293,0.08593877,122.84379,1055.9529,0.074213676,0.000055864348,0,0,0.015195103,0.015250968,0.003812742,0,0.015195103,0.0063298056,0.012659611,0.024631677,0.12315839,0.020815417,0.1248925,0.018834142,0.13183899,0.01388244,0.20823659,0.3227846,0.08069615,4,4,4,1,1
