"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75"
"0",1432.9941,1067.4678,0.033464216,1435.0779,1084.115,0.025279453,1437.87,1060.5203,0.023206523,1435.0472,1055.501,0.024450794,11879.309,11956.802,11877.846,11842.947,47556.9,11889.225,11842.947,11956.802,11889.224609375,11889.224609375,11889.224609375,11889.224609375,11889.224609375,11889.224609375,11889.224609375,11889.224609375,11889.224609375,11889.224609375,0.10640099,0.026600247,4,4,4
"1",1432.8615,1079.0912,0.020240754,1435.0105,1084.825,0.025556693,1439.6433,1076.1648,0.01957051,1429.1095,1086.0642,0.025602048,77.27809,4.7410684,104.671684,206.98495,393.67578,98.418945,4.7410684,206.98495,5993.82177734375,11987.6435546875,5993.82177734375,11987.6435546875,5993.82177734375,11987.6435546875,5993.82177734375,11987.6435546875,5993.82177734375,11987.6435546875,0.09097,0.0227425,4,4,4
"2",1453.8171,1081.2094,0.026034603,1419.9515,1069.0374,0.02169269,1421.747,1070.3359,0.016759312,1431.0453,1068.0773,0.022895936,140.02438,145.0465,125.127464,120.268616,530.4669,132.61673,120.268616,145.0465,115.51783752441406,231.03567504882812,4040.0867614746094,12120.260284423828,4040.0867614746094,12120.260284423828,4040.0867614746094,12120.260284423828,4040.0867614746094,12120.260284423828,0.08738254,0.021845635,4,4,4
"3",1452.84,1078.5886,0.042143416,1448.5653,1070.5792,0.041047823,1453.6106,1075.0553,0.031078173,1449.9937,1071.1096,0.036641844,18.594448,190.5018,214.14206,127.57258,550.8109,137.70273,18.594448,214.14206,135.15972900390625,270.3194580078125,3064.490753173828,12257.963012695312,3064.490753173828,12257.963012695312,3064.490753173828,12257.963012695312,3064.490753173828,12257.963012695312,0.15091126,0.037727814,4,4,4
"4",1449.8109,1063.1456,0.06426773,1448.9974,1069.741,0.05525477,1453.3937,1060.8981,0.04585115,1450.5787,1071.9415,0.051629134,104.62209,6.2696805,94.129036,6.7614155,211.78223,52.945557,6.2696805,104.62209,95.32414245605469,190.64828491210938,2462.1817138671877,12310.908569335938,2462.1817138671877,12310.908569335938,2462.1817138671877,12310.908569335938,2462.1817138671877,12310.908569335938,0.21700278,0.054250695,4,4,4
"5",1449.7969,1065.4738,0.031253222,1450.2894,1052.1844,0.031128747,1454.6528,1059.5085,0.02826027,1449.5985,1055.043,0.030751659,15.4777775,117.03227,12.466215,112.53136,257.50763,64.37691,12.466215,117.03227,58.661231994628906,117.32246398925781,97.21217346191406,486.0608673095703,2062.5475794474282,12375.28547668457,2062.5475794474282,12375.28547668457,2062.5475794474282,12375.28547668457,0.1213939,0.030348474,4,4,4
"6",1435.4485,1068.2006,0.03453935,1435.577,1067.4481,0.045321144,1438.2577,1069.9642,0.03057205,1435.7627,1071.9591,0.044099316,97.0961,140.93784,129.27379,145.28473,512.59247,128.14812,97.0961,145.28473,96.26251220703125,192.5250244140625,103.1580078125,515.7900390625,102.3681640625,614.208984375,1786.204799107143,12503.43359375,1786.204799107143,12503.43359375,0.15453187,0.038632967,4,4,4
"7",-4.536067,1304.4202,0.016583517,1434.4956,1069.9275,0.0149423545,1436.5386,1069.1345,0.010740157,5.257638,907.4891,0.015098807,9701.044,17.982641,12.690265,9572.723,19304.44,4826.11,12.690265,9701.044,2477.12899017334,4954.25798034668,1041.8566345214845,5209.283172607422,890.316650390625,5341.89990234375,777.1884068080357,5440.31884765625,2166.1929321289062,17329.54345703125,0.057364836,0.014341209,4,4,4
"8",-4.5198135,1304.416,0.016616795,1465.9421,1055.492,0.016828505,1464.9482,1050.584,0.0113956425,5.2578297,907.48944,0.015097431,0.11152117,230.03313,225.56712,0.0027479462,455.71454,113.928635,0.0027479462,230.03313,2470.0192489624023,4940.038497924805,1037.1018157958983,5185.509078979492,887.2019678751627,5323.211807250977,779.4040767124721,5455.828536987305,1938.163565741645,17443.472091674805,0.05993837,0.014984593,4,4,4
"9",1452.7522,1085.3435,0.016921083,1451.4559,1088.016,0.021759383,1449.3926,1080.4652,0.013866243,1449.4462,1083.1505,0.02077159,9796.88,236.69904,223.95811,9671.8,19929.336,4982.334,223.95811,9796.88,2548.1313095092773,5096.262619018555,2022.9795013427733,10114.897506713867,1694.640510559082,10167.843063354492,1472.2208273751396,10305.545791625977,2242.5806076049803,22425.806076049805,0.073318295,0.018329574,4,4,4
