"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75"
"0",120.70797,1061.9095,0.06901421,122.94793,1052.0479,0.088777855,129.405,1061.8965,0.083188,122.850006,1055.946,0.073103145,7825.6416,7755.785,7832.995,7784.0537,31198.477,7799.619,7755.785,7832.995,7799.619140625,7799.619140625,7799.619140625,7799.619140625,7799.619140625,7799.619140625,7799.619140625,7799.619140625,7799.619140625,7799.619140625,0.31408322,0.078520805,4,4,4
"1",120.71456,1061.9863,0.0713595,122.94793,1052.0686,0.09041398,129.405,1061.9061,0.08567599,122.850006,1055.9574,0.07387479,0.5642869,0.15195103,0.070612535,0.08312615,0.8699766,0.21749415,0.070612535,0.5642869,3899.918317385018,7799.836634770036,3899.918317385018,7799.836634770036,3899.918317385018,7799.836634770036,3899.918317385018,7799.836634770036,3899.918317385018,7799.836634770036,0.32132423,0.08033106,4,4,4
"2",120.71456,1061.9888,0.07143362,122.94793,1052.0762,0.09042911,129.405,1061.9081,0.08560917,122.850006,1055.9594,0.07385875,0.017876592,0.055417433,0.014301273,0.014301273,0.10189657,0.025474142,0.014301273,0.055417433,0.12148414365947247,0.24296828731894493,2599.9540363041065,7799.862108912319,2599.9540363041065,7799.862108912319,2599.9540363041065,7799.862108912319,2599.9540363041065,7799.862108912319,0.32133067,0.08033267,4,4,4
"3",120.7105,1061.9888,0.07148627,122.94308,1052.078,0.09043435,129.405,1061.9081,0.08554836,122.84843,1055.9594,0.073881,0.029719833,0.037975267,0,0.01156392,0.079259016,0.019814754,0,0.037975267,0.022644448094069958,0.045288896188139915,1949.970480916556,7799.881923666224,1949.970480916556,7799.881923666224,1949.970480916556,7799.881923666224,1949.970480916556,7799.881923666224,0.32134998,0.080337495,4,4,4
"4",120.7105,1061.9863,0.0714327,122.94202,1052.078,0.09030983,129.40724,1061.9102,0.08542309,122.84818,1055.9581,0.073807426,0.017876592,0.0077651446,0.02237505,0.009115309,0.057132095,0.014283024,0.0077651446,0.02237505,0.017048888839781284,0.03409777767956257,1559.9792413379996,7799.8962066899985,1559.9792413379996,7799.8962066899985,1559.9792413379996,7799.8962066899985,1559.9792413379996,7799.8962066899985,0.32097304,0.08024326,4,4,4
"5",120.70549,1061.9836,0.07154624,122.94069,1052.078,0.090317965,129.41069,1061.9117,0.08551529,122.848145,1055.9581,0.07380795,0.04163873,0.009720397,0.02779598,0.00027932174,0.079434425,0.019858606,0.00027932174,0.04163873,0.017070814967155457,0.03414162993431091,0.05938493423163891,0.29692467115819454,1299.986010882693,7799.916065296158,1299.986010882693,7799.916065296158,1299.986010882693,7799.916065296158,0.32118744,0.08029686,4,4,4
"6",120.70473,1061.9825,0.07155657,122.94069,1052.0784,0.09033621,129.41069,1061.9117,0.08553155,122.84786,1055.9581,0.07382533,0.009793961,0.0026814889,0,0.0020669808,0.014542432,0.003635608,0,0.009793961,0.011747107026167214,0.023494214052334428,0.016613226803019642,0.08306613401509821,0.050093379841806986,0.3005602790508419,1114.274242986293,7799.919700904051,1114.274242986293,7799.919700904051,0.32124966,0.080312416,4,4,4
"7",120.70473,1061.9824,0.07155537,122.94069,1052.0784,0.09033453,129.41069,1061.9119,0.085530035,122.84786,1055.9581,0.07382401,0.00089382957,0,0.00089382957,0,0.0017876591,0.00044691478,0,0.00089382957,0.0020412613375810906,0.004082522675162181,0.011607781302882359,0.05803890651441179,0.013918841466268836,0.08351304879761301,0.04300102769047953,0.3010071938333567,974.9900184773542,7799.920147818833,0.32124394,0.080310985,4,4,4
"8",120.70314,1061.979,0.07148163,122.94085,1052.079,0.09020059,129.40817,1061.9141,0.08539555,122.84786,1055.9581,0.073717445,0.027593143,0.004620559,0.024468586,0,0.05668229,0.014170572,0,0.027593143,0.007308743472094648,0.014617486944189295,0.010478944954229519,0.052394724771147594,0.012034913112681048,0.07220947867608629,0.01395480299418393,0.09768362095928751,866.6593687101106,7799.934318390995,0.3207952,0.0801988,4,4,4
"9",120.70314,1061.9779,0.07150721,122.94085,1052.079,0.090271905,129.40805,1061.9143,0.085449204,122.847855,1055.9581,0.07378476,0.008044466,0,0.0019986636,0.000055864348,0.010098995,0.0025247487,0,0.008044466,0.008347660419531167,0.016695320839062333,0.008127289934782312,0.04063644967391156,0.009153245574755905,0.05491947344853543,0.010676318193353447,0.07473422735347413,779.9936843139673,7799.936843139672,0.32101306,0.080253266,4,4,4
"10",120.70314,1061.9779,0.07150721,122.94085,1052.079,0.090271905,129.40805,1061.9143,0.085449204,122.84702,1055.9585,0.07378476,0,0,0,0.0066534886,0.0066534886,0.0016633722,0,0.0066534886,0.002094060415402055,0.00418812083080411,0.004488243133528158,0.02244121566764079,0.0070499703045546385,0.04229982182732783,0.008083263657421671,0.0565828456019517,709.0853187738023,7799.938506511826,0.32101306,0.080253266,4,4,4
"11",120.70314,1061.9766,0.071524054,122.9407,1052.0779,0.09028697,129.40805,1061.9143,0.08548902,122.84702,1055.9572,0.07379102,0.009832125,0.008121684,0,0.009832125,0.027785935,0.0069464836,0,0.009832125,0.004304927890188992,0.008609855780377984,0.005150418280391022,0.025752091401955113,0.00489794988243375,0.0293876992946025,0.007035186493469935,0.04924630545428954,649.9954544162878,7799.945452995453,0.32109106,0.080272764,4,4,4
"12",120.70314,1061.9761,0.071502,122.94067,1052.0775,0.090264134,129.40805,1061.9143,0.08545862,122.84693,1055.9572,0.07376805,0.0035753183,0.0026907835,0,0.0006703722,0.006936474,0.0017341184,0,0.0035753183,0.004340301034972072,0.008680602069944143,0.005407859012484551,0.027039295062422752,0.004581034974156258,0.027486209844937548,0.004445973962512133,0.031121817737584934,599.9959374702996,7799.947187113896,0.32099283,0.08024821,4,4,4
"13",120.70128,1061.9756,0.07156297,122.93906,1052.0774,0.09050714,129.41238,1061.9155,0.08555636,122.84669,1055.9572,0.0739879,0.0140919965,0.011821218,0.03296584,0.0017876591,0.060666714,0.0151666785,0.0017876591,0.03296584,0.00845039845444262,0.01690079690888524,0.005607080273330211,0.028035401366651058,0.007034328921387593,0.04220597352832556,0.006093269758691479,0.04265288831084035,557.1401681280258,7799.962353792362,0.32161438,0.080403596,4,4,4
"14",120.70043,1061.9742,0.071570106,122.938934,1052.0763,0.09052853,129.41246,1061.9155,0.08558978,122.846375,1055.957,0.07401158,0.011624215,0.008093972,0.0005586435,0.0024586662,0.022735495,0.005683874,0.0005586435,0.011624215,0.01042527612298727,0.02085055224597454,0.006238905293866992,0.03119452646933496,0.005619879191120465,0.033719275146722794,0.006841406758342471,0.04788984730839729,519.9978691777428,7799.968037666142,0.3217,0.080425,4,4,4
"15",120.676125,1061.9657,0.07200081,122.93342,1052.0757,0.090669006,129.41711,1061.9293,0.08593412,122.84379,1055.9553,0.07425015,0.18866108,0.040636428,0.10659649,0.022698874,0.3585929,0.089648224,0.022698874,0.18866108,0.04766604909673333,0.09533209819346666,0.02383587574586272,0.11917937872931361,0.02014045848045498,0.12084275088272989,0.017623928508588245,0.12336749956011772,0.02923635103700993,0.43854526555514894,0.32285407,0.08071352,4,4,4
"16",120.67205,1061.9639,0.07200578,122.93342,1052.0757,0.09062746,129.41711,1061.9293,0.08593097,122.84379,1055.955,0.07421898,0.03270599,0,0,0.0026814889,0.03538748,0.00884687,0,0.03270599,0.049247547052800655,0.09849509410560131,0.024215952958911657,0.12107976479455829,0.02133770807025333,0.12802624842152,0.018527088653562323,0.12968962057493627,0.015326532680774108,0.2298979902116116,0.3227832,0.0806958,4,4,4
"17",120.67204,1061.9639,0.07201183,122.93342,1052.0757,0.09062035,129.41711,1061.9293,0.08593877,122.84379,1055.9529,0.074213676,0.000055864348,0,0,0.015195103,0.015250968,0.003812742,0,0.015195103,0.006329805823042989,0.012659611646085978,0.02463167766109109,0.12315838830545545,0.020815417791406315,0.12489250674843788,0.018834141482199942,0.1318389903753996,0.013882439325486,0.20823658988229,0.3227846,0.08069615,4,4,4
"18",120.67204,1061.9604,0.0718909,122.93215,1052.0757,0.09062282,129.41435,1061.929,0.08578681,122.844376,1055.9531,0.07420529,0.025027229,0.009273482,0.020399898,0.004658229,0.05935884,0.01483971,0.004658229,0.025027229,0.009326225845143199,0.018652451690286398,0.02456628391519189,0.12283141957595944,0.02299968300697704,0.13799809804186225,0.019961745212120668,0.13973221648484468,0.01355076971425054,0.2032615457137581,0.3225058,0.08062645,4,4,4
"19",120.67205,1061.9604,0.071890816,122.93358,1052.0757,0.09062272,129.41435,1061.929,0.0857867,122.844376,1055.9529,0.07420517,0.000055864348,0.010446633,0,0.0017876591,0.012290156,0.003072539,0,0.010446633,0.008956124424003065,0.01791224884800613,0.024044016981497406,0.12022008490748703,0.02098399311459313,0.12590395868755877,0.020152948164780225,0.14107063715346158,0.012803404070048903,0.19205106105073355,0.3225054,0.08062635,4,4,4
"20",120.67205,1061.954,0.07277346,122.93358,1052.0734,0.09063109,129.41435,1061.9271,0.08583074,122.844376,1055.9529,0.07421032,0.047372967,0.016982762,0.013407444,0,0.07776318,0.019440794,0,0.047372967,0.011256666737608612,0.022513333475217223,0.010002530971542,0.050012654857710004,0.023276813211850822,0.13966087927110493,0.020763536150168096,0.14534475305117667,0.01277554995031096,0.1916332492546644,0.32344562,0.080861405,4,4,4
"21",120.67204,1061.9521,0.10676342,122.93358,1052.0734,0.14741977,129.41435,1061.9271,0.097962454,122.844376,1055.9507,0.1019664,0.013407561,0,0,0.016088933,0.029496495,0.0073741237,0,0.016088933,0.013407459016889334,0.026814918033778667,0.009707981767132879,0.04853990883566439,0.009564463087978462,0.057386778527870774,0.021005000420180813,0.1470350029412657,0.01302478433547852,0.1953717650321778,0.45411202,0.113528006,1,4,4
"22",120.67338,1061.9521,0.0719967,122.93647,1052.0734,0.11343872,129.41435,1061.9271,0.09548054,122.84444,1055.9507,0.0742931,0.009776261,0.021172589,0,0.00044691478,0.031395763,0.007848941,0,0.021172589,0.007611532229930162,0.015223064459860325,0.01051522153429687,0.05257610767148435,0.009398141604227325,0.056388849625363946,0.009319388473938619,0.06523571931757033,0.013518252735957503,0.20277379103936255,0.35520905,0.08880226,3,4,4
