"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75"
"0",327.02298,931.9622,0.13303466,330.53662,927.95703,0.14170857,335.1853,920.60236,0.12177566,331.91986,926.7171,0.12696505,8091.0366,8069.697,8025.9146,8063.943,32250.592,8062.648,8025.9146,8091.0366,8062.64794921875,8062.64794921875,8062.64794921875,8062.64794921875,8062.64794921875,8062.64794921875,8062.64794921875,8062.64794921875,8062.64794921875,8062.64794921875,0.52348393,0.13087098,0,4,4
"1",327.68448,931.9622,0.15349424,330.53662,927.95703,0.15614885,335.1853,920.60236,0.124828786,331.91986,926.7171,0.14342064,5.419014,0,0,0,5.419014,1.3547535,0,5.419014,4032.0013513565063,8064.002702713013,4032.0013513565063,8064.002702713013,4032.0013513565063,8064.002702713013,4032.0013513565063,8064.002702713013,4032.0013513565063,8064.002702713013,0.57789254,0.14447314,0,4,4
"2",328.42303,931.9622,0.16137531,330.53662,927.95703,0.18075675,335.1853,920.60236,0.12293428,331.91986,926.7171,0.15233393,6.0502653,0,0,0,6.0502653,1.5125663,0,6.0502653,1.4336599111557007,2.8673198223114014,2688.5050896803536,8065.515269041061,2688.5050896803536,8065.515269041061,2688.5050896803536,8065.515269041061,2688.5050896803536,8065.515269041061,0.6174003,0.15435007,0,4,4
"3",328.42303,915.06464,0.16810945,328.80246,912.41003,0.19861425,333.37228,919.1067,0.1405741,330.5409,923.58215,0.14237183,138.42535,128.15118,19.25396,28.05627,313.88678,78.471695,19.25396,138.42535,39.992130637168884,79.98426127433777,2035.9967409968376,8143.9869639873505,2035.9967409968376,8143.9869639873505,2035.9967409968376,8143.9869639873505,2035.9967409968376,8143.9869639873505,0.64966965,0.16241741,0,4,4
"4",328.42596,915.06464,0.16805784,328.80246,912.41003,0.1984211,332.99106,919.092,0.14065112,329.84232,923.58215,0.14227611,0.024000062,0,3.1253316,5.7227645,8.872096,2.218024,0,5.7227645,40.34485948085785,80.6897189617157,1629.2409976005554,8146.204988002777,1629.2409976005554,8146.204988002777,1629.2409976005554,8146.204988002777,1629.2409976005554,8146.204988002777,0.6494062,0.16235155,0,4,4
"5",328.42596,915.0644,0.1956054,328.7624,912.4083,0.19419183,332.98483,918.9422,0.12800178,328.83365,911.8147,0.13577747,0.0020000052,0.32854927,1.2280626,96.75274,98.31135,24.577837,0.0020000052,96.75274,13.39793050289154,26.79586100578308,21.62697515487671,108.13487577438354,1361.7971374988556,8170.7828249931335,1361.7971374988556,8170.7828249931335,1361.7971374988556,8170.7828249931335,0.6535765,0.16339412,0,4,4
"6",328.42303,915.0405,0.08519467,328.76077,912.3484,0.089261286,321.07724,904.0304,0.068175584,329.84232,911.7967,0.07692449,0.19696814,0.49118,156.32657,8.264338,165.27905,41.319763,0.19696814,156.32657,32.9488000869751,65.8976001739502,29.61997709274292,148.0998854637146,24.909106492996216,149.4546389579773,1173.1575125966754,8212.102588176727,1173.1575125966754,8212.102588176727,0.31955603,0.07988901,4,4,4
"7",312.48743,901.3281,0.07210991,328.4547,910.18195,0.080567636,320.14465,903.87634,0.06612809,329.84232,910.42786,0.06755185,172.22223,17.923775,7.7433023,11.213529,209.10283,52.275707,7.7433023,172.22223,46.7977352142334,93.5954704284668,39.77260527610779,198.86302638053894,33.39593211809794,200.37559270858765,28.818620886121476,201.73034620285034,1033.0472869277,8264.3782954216,0.28635746,0.071589366,4,4,4
"8",312.4188,901.25055,0.0872725,310.84192,896.86993,0.08315444,319.5869,903.6859,0.0787462,328.83365,910.42786,0.06711765,0.84852165,180.8601,4.827989,8.263021,194.79964,48.69991,0.84852165,180.8601,50.48780822753906,100.97561645507812,33.81824812889099,169.09124064445496,41.260489265124,247.56293559074402,35.582214559827534,249.07550191879272,923.6753560702006,8313.078204631805,0.3162908,0.0790727,4,4,4
"9",312.2531,900.87854,0.10203714,305.1,896.6651,0.09521877,319.5869,903.6859,0.09672602,314.03156,910.42786,0.08035449,3.3360817,47.06779,0,121.25906,171.66293,42.915733,0,121.25906,45.80782127380371,91.61564254760742,41.957789993286134,209.78894996643066,35.33449566364288,212.0069739818573,41.496952704020906,290.47866892814636,835.5993937969208,8355.993937969208,0.37433642,0.093584105,3,4,4
"10",312.4188,900.6324,0.104674645,304.85648,896.44684,0.10461287,319.44037,903.3934,0.10321718,313.98148,913.5611,0.08500847,2.4307263,2.6789935,2.680382,25.670845,33.460945,8.365236,2.4307263,25.670845,25.64048480987549,51.28096961975098,38.71526985168457,193.57634925842285,36.35903104146322,218.1541862487793,31.481744323457992,220.37221026420593,760.3962885683233,8364.359174251556,0.39751318,0.099378295,1,4,4
