scorer,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400
bodyparts,Head,Head,Head,Centre,Centre,Centre,rightLeg,rightLeg,rightLeg,leftLeg,leftLeg,leftLeg
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,136.3841094970703,731.1425170898438,0.0198371559381485,139.9689483642578,713.7542724609375,0.025496089830994606,403.3332214355469,949.528564453125,0.020607871934771538,3.4621148109436035,298.624267578125,0.01922733709216118
1,136.3841094970703,731.2335205078125,0.019755495712161064,400.027587890625,953.66748046875,0.020977703854441643,403.3332214355469,950.384765625,0.013832508586347103,3.466090202331543,298.6252746582031,0.019228359684348106
2,136.3855743408203,731.2335205078125,0.019755495712161064,401.0734558105469,953.66748046875,0.024881763383746147,405.99993896484375,950.384765625,0.019609982147812843,3.48376202583313,298.6252746582031,0.02186986431479454
3,136.3855743408203,731.2335205078125,0.024113547056913376,400.027587890625,952.2657470703125,0.029210545122623444,405.99993896484375,950.30126953125,0.02779233641922474,3.5559792518615723,298.6369323730469,0.019377978518605232
4,375.670654296875,919.9564208984375,0.019818956032395363,400.027587890625,952.2657470703125,0.02544696070253849,405.99993896484375,949.528564453125,0.02367035672068596,424.5712890625,941.17724609375,0.01892457716166973
5,375.670654296875,933.515625,0.02074802853167057,399.55377197265625,948.73828125,0.03009609319269657,405.99993896484375,948.2300415039062,0.030758492648601532,424.5712890625,941.17724609375,0.02058345079421997
6,375.3208923339844,920.0852661132812,0.028149060904979706,399.55377197265625,948.73828125,0.04497671127319336,405.99993896484375,948.0415649414062,0.04314908757805824,425.33331298828125,941.3235473632812,0.029158802703022957
7,375.670654296875,933.515625,0.02605181559920311,399.55377197265625,948.73828125,0.03972916305065155,435.1708068847656,948.0415649414062,0.04184165596961975,425.6421813964844,941.4623413085938,0.031265128403902054
8,375.670654296875,933.515625,0.02065289206802845,397.4538879394531,970.5004272460938,0.03433242812752724,389.83087158203125,948.0415649414062,0.04437027499079704,425.6421813964844,974.05029296875,0.026185641065239906
9,441.5042724609375,983.0792236328125,0.029421264305710793,444.47979736328125,970.8143920898438,0.03080238588154316,389.83087158203125,948.1740112304688,0.03919648751616478,440.9473571777344,974.991455078125,0.029649320989847183
10,442.2330017089844,983.0792236328125,0.03847974166274071,444.4816589355469,970.8143920898438,0.05481008067727089,435.1708068847656,965.5020141601562,0.03300179913640022,440.9473571777344,976.6438598632812,0.04036373272538185
11,442.2330017089844,983.0792236328125,0.06185702979564667,444.47979736328125,970.7643432617188,0.0872296541929245,435.1708068847656,965.5020141601562,0.07134798169136047,440.6500244140625,976.6438598632812,0.06017979234457016
12,442.2330017089844,970.8302612304688,0.05523481220006943,397.4538879394531,970.5004272460938,0.06530995666980743,420.67034912109375,965.5020141601562,0.053660254925489426,407.98065185546875,976.6438598632812,0.05033896863460541
13,425.4417724609375,966.8251342773438,0.03888216242194176,399.53814697265625,970.2738037109375,0.05789436027407646,420.67034912109375,963.1739501953125,0.044812705367803574,408.04803466796875,976.1056518554688,0.04021972417831421
14,411.19744873046875,964.937255859375,0.047968119382858276,399.248291015625,969.0961303710938,0.07446172088384628,404.35693359375,951.688720703125,0.04375908896327019,407.98065185546875,976.1056518554688,0.049741268157958984
15,409.8587341308594,966.8251342773438,0.0617818608880043,399.248291015625,969.0961303710938,0.07870331406593323,404.35693359375,951.688720703125,0.06842154264450073,407.98065185546875,976.1056518554688,0.047429345548152924
16,409.8587341308594,970.8302612304688,0.04383761063218117,399.53814697265625,970.2738037109375,0.06245296075940132,404.35693359375,963.1739501953125,0.045271988958120346,408.04803466796875,972.8352661132812,0.04760375991463661
17,409.8587341308594,979.0962524414062,0.09600119292736053,411.82080078125,969.2841796875,0.11043662577867508,411.5827941894531,966.3049926757812,0.07150857150554657,408.04803466796875,976.16455078125,0.0976477637887001
18,408.44976806640625,979.0962524414062,0.07490676641464233,411.82080078125,970.196533203125,0.0845961943268776,413.8561706542969,968.5968017578125,0.08025984466075897,403.7949523925781,976.16455078125,0.07964982092380524
19,408.1632995605469,979.0962524414062,0.08180566132068634,411.82080078125,970.7085571289062,0.1104334369301796,414.6652526855469,982.447509765625,0.08544041961431503,408.0997314453125,975.1009521484375,0.09285078942775726
