scorer,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400
bodyparts,Head,Head,Head,Centre,Centre,Centre,rightLeg,rightLeg,rightLeg,leftLeg,leftLeg,leftLeg
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,423.4955139160156,995.1773681640625,0.09915456920862198,415.5429382324219,980.7971801757812,0.12431703507900238,432.8953552246094,999.135498046875,0.08829805999994278,427.6483459472656,1002.62451171875,0.09215866774320602
1,423.9581298828125,995.782470703125,0.10083803534507751,427.9498291015625,1000.4434204101562,0.16498249769210815,432.8953552246094,999.135498046875,0.1089077889919281,427.8037414550781,1008.5049438476562,0.11600388586521149
2,424.3172607421875,995.782470703125,0.11210338771343231,427.9498291015625,1000.4434204101562,0.14836494624614716,432.8953552246094,999.135498046875,0.113911934196949,427.8037414550781,1008.5049438476562,0.11796862632036209
3,424.3172607421875,995.782470703125,0.13592897355556488,427.3830261230469,986.129638671875,0.17075932025909424,432.5835876464844,998.8107299804688,0.1282094120979309,427.6483459472656,1008.5049438476562,0.14970050752162933
4,426.7245788574219,995.4398803710938,0.1429254412651062,425.0201416015625,986.129638671875,0.17577433586120605,429.7096252441406,995.3721923828125,0.12830273807048798,426.395263671875,992.2913208007812,0.13986638188362122
5,426.7245788574219,981.67822265625,0.10114973783493042,425.0201416015625,986.129638671875,0.11577680706977844,428.8054504394531,983.8571166992188,0.0916287824511528,425.2824401855469,992.2913208007812,0.10114730149507523
6,426.7245788574219,980.4370727539062,0.06475978344678879,412.81695556640625,979.72021484375,0.11030068248510361,427.8329772949219,983.7675170898438,0.07483960688114166,425.0362854003906,992.2913208007812,0.08781324326992035
7,410.04559326171875,980.4370727539062,0.06837955117225647,398.16668701171875,965.7207641601562,0.09058494865894318,416.12152099609375,983.7675170898438,0.053571976721286774,410.2380065917969,992.9736328125,0.0626947283744812
8,409.40093994140625,981.67822265625,0.0821269303560257,398.16668701171875,965.7207641601562,0.10026005655527115,413.4913635253906,983.7675170898438,0.0685693770647049,410.2174987792969,993.1609497070312,0.08129604160785675
9,409.40093994140625,980.4370727539062,0.09956997632980347,398.16668701171875,965.7207641601562,0.12262841314077377,412.7461853027344,982.8973388671875,0.09583837538957596,409.8023376464844,993.1609497070312,0.09909848868846893
10,409.40093994140625,980.4370727539062,0.13031907379627228,397.9760437011719,969.25830078125,0.14763131737709045,411.9223327636719,982.5728149414062,0.11075057089328766,409.5541076660156,993.1609497070312,0.13161422312259674
11,407.9934997558594,979.6800537109375,0.12224798649549484,397.7295837402344,969.507080078125,0.1430230587720871,411.6214294433594,982.3287353515625,0.1096663847565651,409.2503967285156,993.1609497070312,0.12808915972709656
12,393.14288330078125,981.2670288085938,0.108811154961586,380.55206298828125,969.507080078125,0.13985785841941833,384.4950256347656,967.46875,0.1224450021982193,385.86346435546875,995.6535034179688,0.14694273471832275
13,393.14288330078125,980.9547729492188,0.14298932254314423,380.55206298828125,969.507080078125,0.18806323409080505,384.4950256347656,967.46875,0.14160224795341492,385.4290771484375,995.6535034179688,0.1435677856206894
14,392.0372314453125,981.2670288085938,0.14176732301712036,380.3830871582031,969.507080078125,0.16596613824367523,384.4950256347656,967.46875,0.14709247648715973,384.8275146484375,995.6535034179688,0.15675006806850433
15,376.19354248046875,980.9547729492188,0.1670903116464615,378.4334411621094,969.507080078125,0.1847362369298935,384.4950256347656,967.46875,0.14869900047779083,382.0244445800781,992.291259765625,0.16405868530273438
16,376.7580871582031,980.9547729492188,0.14295965433120728,377.74957275390625,959.0682983398438,0.18729504942893982,384.62689208984375,967.46875,0.13862259685993195,379.50732421875,987.7996215820312,0.15465563535690308
17,376.7580871582031,963.9862060546875,0.13352011144161224,378.1735534667969,960.0560302734375,0.1486474573612213,384.62689208984375,966.0938720703125,0.1007271334528923,379.40521240234375,985.4156494140625,0.1295987367630005
18,376.19354248046875,963.241455078125,0.12792463600635529,377.74957275390625,960.0560302734375,0.1869933307170868,383.6892395019531,965.5589599609375,0.11144722998142242,371.2513732910156,978.4445190429688,0.11673498153686523
19,376.19354248046875,947.0415649414062,0.16329650580883026,367.57464599609375,959.0682983398438,0.18788141012191772,381.53143310546875,965.075927734375,0.1657000482082367,367.03338623046875,973.1759643554688,0.15317749977111816
