scorer,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400,DLC_resnet50_OrangutanOct17shuffle1_400
bodyparts,Head,Head,Head,Centre,Centre,Centre,rightLeg,rightLeg,rightLeg,leftLeg,leftLeg,leftLeg
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,120.70796966552734,1061.9095458984375,0.06901420652866364,122.94792938232422,1052.0478515625,0.08877785503864288,129.40499877929688,1061.896484375,0.083187997341156,122.85000610351562,1055.946044921875,0.07310314476490021
1,120.71456146240234,1061.986328125,0.07135950028896332,122.94792938232422,1052.068603515625,0.09041398018598557,129.40499877929688,1061.9061279296875,0.08567599207162857,122.85000610351562,1055.9573974609375,0.07387478649616241
2,120.71456146240234,1061.98876953125,0.07143361866474152,122.94792938232422,1052.076171875,0.09042911231517792,129.40499877929688,1061.9080810546875,0.08560916781425476,122.85000610351562,1055.9593505859375,0.07385875284671783
3,120.71050262451172,1061.98876953125,0.07148627191781998,122.94307708740234,1052.0780029296875,0.09043435007333755,129.40499877929688,1061.9080810546875,0.08554836362600327,122.84842681884766,1055.9593505859375,0.07388100028038025
4,120.71050262451172,1061.986328125,0.0714327022433281,122.9420166015625,1052.0780029296875,0.09030982851982117,129.40724182128906,1061.91015625,0.08542308956384659,122.84818267822266,1055.9581298828125,0.07380742579698563
5,120.70549011230469,1061.983642578125,0.07154624164104462,122.94068908691406,1052.0780029296875,0.09031796455383301,129.4106903076172,1061.9117431640625,0.08551529049873352,122.84814453125,1055.9581298828125,0.07380794733762741
6,120.70472717285156,1061.9825439453125,0.07155656814575195,122.94068908691406,1052.078369140625,0.09033621102571487,129.4106903076172,1061.9117431640625,0.08553154766559601,122.84786224365234,1055.9581298828125,0.07382532954216003
7,120.70472717285156,1061.982421875,0.07155536860227585,122.94068908691406,1052.078369140625,0.09033452719449997,129.4106903076172,1061.911865234375,0.08553003519773483,122.84786224365234,1055.9581298828125,0.07382401078939438
8,120.70314025878906,1061.97900390625,0.0714816302061081,122.94084930419922,1052.0789794921875,0.09020058810710907,129.40817260742188,1061.9140625,0.08539555221796036,122.84786224365234,1055.9581298828125,0.07371744513511658
9,120.70314025878906,1061.9779052734375,0.07150720804929733,122.94084930419922,1052.0789794921875,0.09027190506458282,129.40805053710938,1061.914306640625,0.0854492038488388,122.84785461425781,1055.9581298828125,0.07378476113080978
10,120.70314025878906,1061.9779052734375,0.07150720804929733,122.94084930419922,1052.0789794921875,0.09027190506458282,129.40805053710938,1061.914306640625,0.0854492038488388,122.8470230102539,1055.95849609375,0.07378476113080978
11,120.70314025878906,1061.9765625,0.07152405381202698,122.9406967163086,1052.077880859375,0.0902869701385498,129.40805053710938,1061.914306640625,0.08548901975154877,122.8470230102539,1055.9571533203125,0.0737910196185112
12,120.70314025878906,1061.97607421875,0.07150200009346008,122.94066619873047,1052.0775146484375,0.09026413410902023,129.40805053710938,1061.914306640625,0.08545862138271332,122.84693145751953,1055.9571533203125,0.07376804947853088
13,120.70127868652344,1061.9755859375,0.07156296819448471,122.93905639648438,1052.077392578125,0.0905071422457695,129.41238403320312,1061.91552734375,0.08555635809898376,122.84668731689453,1055.9571533203125,0.07398790121078491
14,120.70043182373047,1061.9742431640625,0.07157010585069656,122.93893432617188,1052.0762939453125,0.09052853286266327,129.41246032714844,1061.91552734375,0.08558978140354156,122.84637451171875,1055.95703125,0.07401157915592194
15,120.6761245727539,1061.9656982421875,0.07200080901384354,122.93341827392578,1052.07568359375,0.09066900610923767,129.4171142578125,1061.9293212890625,0.085934117436409,122.84378814697266,1055.955322265625,0.07425014674663544
16,120.67205047607422,1061.9638671875,0.07200577855110168,122.93341827392578,1052.07568359375,0.09062746167182922,129.4171142578125,1061.9293212890625,0.0859309732913971,122.84378814697266,1055.9549560546875,0.0742189809679985
17,120.67204284667969,1061.9638671875,0.07201182842254639,122.93341827392578,1052.07568359375,0.09062034636735916,129.4171142578125,1061.9293212890625,0.08593876659870148,122.84378814697266,1055.952880859375,0.0742136761546135
18,120.67204284667969,1061.96044921875,0.07189089804887772,122.9321517944336,1052.07568359375,0.09062281996011734,129.4143524169922,1061.928955078125,0.08578681200742722,122.84437561035156,1055.953125,0.07420528680086136
19,120.67205047607422,1061.96044921875,0.07189081609249115,122.93357849121094,1052.07568359375,0.09062272310256958,129.4143524169922,1061.928955078125,0.08578670024871826,122.84437561035156,1055.952880859375,0.07420516759157181
